"","DxK","DxKP","ExK","ExKP","IK","IKxD","IKxE","IKxEP","KL","KP","KxD","KxE","KxEP","KxG","KxN","KxP","KxQ","KxS","LKxD","LKxE","LKxEP","MKxE","PKxE","TKxE","VK","VKxE"
"circadian regulation of gene expression",0.638787686499432,1.02385089861918,0.321675608358186,4.34257884679025e-05,1.97380147613148,0.258415695352126,0.923075138482686,0.516387353153893,1.41195857755576,1.33752219610962e-13,0.0220825770504974,1.59337727443629,0.382700574054892,0.0233506914126903,0.266717052138279,0.0363698897258057,0.207480444098759,0.332927451218783,NA,0.489904449470676,NA,0.116439534183366,0.744325456086075,0.400242884967854,1.09638570709233,0.048581673429791
"circadian rhythm",0.90990841331838,0.515156009289921,2.61516156385362,0.00864772484997259,2.92752613379852,0.319786594680784,2.05691972361874,0.516387353153893,1.77278382911957,1.33752219610962e-13,0.540256965875738,2.44778468870978,0.873385228822238,0.852830551351842,0.608013059725785,1.54626169852744,1.61480297531659,1.43473614036043,0.187471647568898,0.667966193354251,0.267617287517315,0.14558863161486,0.36287502394054,0.449949099186323,1.84006225290501,1.26334555445866e-06
"DNA repair",9.24264354137248,0.474619068966037,13.7942556940578,0.696191111450431,5.00382986841882,0.633265878598995,0.714961137296139,0.0529107297479675,8.70360319525171,0.515753125315776,5.7471197471194,14.5539853107925,0.450134332434338,2.2300595392977,0.732089977403158,3.71796880064646,3.61769864938641,6.5363695684709,0.373491946669206,0.86486850463413,0.407890406976943,0.14558863161486,0.928513612547306,5.75243734080469,4.2578929964191,0.142659377051962
"DNA-templated transcription elongation",5.59639737773644,0.601249538647932,1.50680115172473,0.00864772484997259,1.99707736721651,0.755268714635858,1.25809299903508,0.143560280184359,1.13076197024465,0.492420839645756,0.569307264724869,6.18222264130212,1.18840840507959,1.29480348072065,0.00936336160058413,1.54626169852744,0.0560864451053604,2.79787076774843,0.122881049940439,0.938590475013315,0.366348574139398,0.0760248680164054,4.01706430510967,0.375083758924682,1.38609766085638,0.300489760203941
"epigenetic regulation of gene expression",2.47951663008543,0.445713963671109,4.18941721128333,0.151824521775432,0.90796893478515,NA,0.347978749436608,0.149016190109606,1.38647427054592,0.408126632984492,0.775951128002721,7.31255642899482,0.482239067933741,0.52465957915273,2.14532046084442,1.60015743762745,0.190371851394171,4.03722059636304,0.12640198590111,0.709649242386246,0.757905237807896,0.14558863161486,0.481762296044135,0.141369758916719,3.71456731758864,1.220258593966
"facultative heterochromatin formation",1.73449814633344,0.88155334245227,0.855434054435768,0.0804940410159889,0.0412629753123525,NA,0.0362323975997172,NA,0.53169290748872,0.442366907931527,0.828767715263941,2.0288498537878,0.139396298293246,0.692275027040847,0.173629109471988,3.20596963730063,0.315331935938114,0.739862048761324,0.172166211637929,0.00340312740391036,0.490293898465853,0.14558863161486,0.0638572051539395,0.310695847213677,2.19564377116355,1.17337814845906
"hematopoietic or lymphoid organ development",0.264589268365861,0.378415573918093,0.708960241189932,4.34257884679025e-05,1.81138626104351,0.762081841726694,1.05839699323752,0.149016190109606,0.159577014941951,1.33752219610962e-13,0.0401341365620155,2.40707439007882,1.67417506496648,0.101923629336749,0.12505467666665,0.581405613875344,0.0269705087995689,0.958036035825403,0.0621901627150484,0.575839650844194,1.9064149623335,0.110973815660878,0.000802110789348685,0.193230238980555,1.54356236581892,0.593769934970864
"hemopoiesis",0.0975861432326185,0.111940224876726,0.899825818685509,4.34257884679025e-05,2.05966562070645,0.784804815801518,1.09599703606889,0.149016190109606,0.216547784345426,1.33752219610962e-13,0.116744284372662,2.61130444709933,1.81079821084182,0.184637332846472,0.116832179438936,0.71278725213176,0.0269705087995689,0.730027000331804,0.0696216744753421,0.653554095634194,1.9064149623335,0.0842957195789347,0.000802110789348685,0.222277750162067,1.05859200415679,0.520168547358998
"histone modification",5.27220278687614,0.548479261242353,4.66912469378104,0.541258403204627,5.70184883090974,0.454758938262302,3.99399094681917,0.516387353153893,6.11541405803595,0.761003360930635,2.22541351095025,14.5539853107925,2.19312988088056,1.82177894887594,2.17286674890912,6.86677766943308,0.984196458455468,1.83888864130183,0.151126141431272,0.709649242386246,0.601526261944366,0.182943926611101,0.892067019536855,0.985329246229289,8.39727451785408,5.18057075877022
"immune system development",0.596941369189164,0.474619068966037,1.0205695158192,4.34257884679025e-05,2.17647590083084,0.700736164510774,1.4477831692368,0.149016190109606,0.264630067412243,1.33752219610962e-13,3.07568796223611e-06,2.75799155227088,1.67417506496648,0.1571903190497,0.0983628141202798,0.455767136183448,0.229890438095117,1.13839028348997,0.0499331526749274,0.623086355930649,1.9064149623335,0.118338020652696,0.00450711425874653,0.478827855502263,1.39260150654518,0.493032356052402
"macromolecule methylation",0.301635393753704,0.0946115826436314,2.30162984655235,0.00864772484997259,0.631975694667049,0.122657290345207,0.872576571869412,0.149016190109606,1.54688298460394,1.33752219610962e-13,0.862106100283845,4.9276621956422,0.938510961542516,0.136296308616956,0.927645870388435,2.17965449166495,0.190371851394171,0.316206807946896,0.014909836730162,0.472216934885766,1.2558618147404,1.06209316497888,1.34816761644217,0.129872169066601,2.19564377116355,0.678802279489139
"mesenchyme morphogenesis",2.53385857528371e-06,0.0877592629328389,1.63805749528003e-08,0.00864772484997259,0.544277776739822,NA,0.0362323975997172,NA,2.98876604461992e-08,1.33752219610962e-13,3.07568796223611e-06,2.60594068604379e-11,NA,0.349728833448174,NA,2.30274068447992,NA,0.370743730081964,NA,NA,NA,NA,NA,NA,1.84689372710703e-06,1.26334555445866e-06
"mitotic G2/M transition checkpoint",1.98625385586909,0.27491466518761,0.114417652958566,0.00864772484997259,0.371174942762282,0.51601973966659,0.0362323975997172,NA,2.98876604461992e-08,0.302947245110589,1.42391079963119,1.80166570159733,0.171572273756304,0.358534308653681,0.0420940741422148,0.0402149846999643,0.325403744451166,0.593577350626603,0.183886984033935,0.307187417092294,NA,NA,NA,1.72195178577181,0.441296279842156,1.26334555445866e-06
"mononuclear cell differentiation",2.53385857528371e-06,0.111940224876726,0.486262933955222,4.34257884679025e-05,1.23660717229256,0.667540181463215,0.419977580755172,0.149016190109606,0.0572280920593429,1.33752219610962e-13,3.07568796223611e-06,0.844854121597428,1.12849056905199,0.238804695640523,0.00936336160058413,0.181585728288179,0.0134609366247293,0.830090054169997,0.0291428097929532,0.270687547416688,1.9064149623335,0.034968216241908,0.0485194331210234,0.303911142740079,1.84689372710703e-06,1.26334555445866e-06
"mRNA processing",6.08842912350332,0.304137781433498,8.69742401963379,0.0730204635853162,4.09048777772794,1.01159746834951,0.67564794692354,0.0956800718306721,10.6262340518552,0.23284598934618,9.21158528171882,9.55623045183933,0.115956550506677,3.70957671410736,0.579266780601078,3.87470831996735,2.16693020437809,6.5363695684709,1.63200474156078,0.765990691362612,0.164173836552131,0.14558863161486,1.34558112081942,1.44718439894166,5.37775901742475,1.26334555445866e-06
